paragraphs,section_tag_3,title_meta_data,cross-ref,vessel_type
The installation is to be examined to the satisfaction of the attending Surveyor in accordance with the approved plans.,4-3-2/17.15.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.15 Surveys', '17.15.1 Initial Survey']",standalone,all vessels
The following design requirements are to be complied with and relevant drawing(s) and data are to be submitted for review and approval prior to commencement of the initial surveys as specified in 4-3-2/17.15.1.,4-3-2/17.9,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.9 Cutter Requirements and Design']",4-3-2/17.15.1,all vessels
Refer to 7-9-32 of the Rules for Survey After Construction (Part 7).,4-3-2/17.15.2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.15 Surveys', '17.15.2 Survey After Construction']",standalone,all vessels
"Functional Requirement No.




Functional Requirements








Propulsion, Maneuvering, Station Keeping (PROP)





PROP-FR1


Torque-transmitting components are to withstand the maximum power delivered by the engine and/or reduction gear and are to have features to reduce stress concentrations.




PROP-FR2


Provide effective means to prevent water ingress through the propulsion shafting into watertight spaces of the vessel and water ingress between propeller and tail shaft.




PROP-FR3


Connections between tail shaft and propeller are to transmit full torque of the shaft and have features to reduce stress concentrations.




PROP-FR4


Provide arrangements to monitor bearing health and remove contaminants in oil-lubricated stern tube bearings.




PROP-FR5


Provide means to prevent bolted joints from loosening. 




PROP-FR6


Align so that stresses along the shafting and loads on the bearings are within acceptable limits.




PROP-FR7


Arrange to minimize bearing stresses due to external environment and ship condition.




PROP-FR8


All equipment including bearings, gearboxes and prime movers are to be arranged so that they can operate as intended.




PROP-FR9


Propulsion shafting is to be designed to withstand all vibration stresses generated by the prime movers and propellers/propulsors




PROP-FR10


Propulsion shafting is to be designed to avoid critical and disabling resonance caused by vibrations during operations.




PROP-FR11


Provide instructions of barred speed ranges at each control location to prevent permanent damage to the system.




PROP-FR12


Provide suitable alarm, monitoring and shutdown systems for the oil/water lubricating stern tube system to allow early intervention and prevent unexpected loss of propulsion.




PROP-FR13


Provide means to conduct preventative maintenance on oil/water-lubricated bearing system easily without removal of major components.




PROP-FR14

The various parameters of the tail shaft condition monitoring system to check for indications of failure are to be managed and recorded regularly.



PROP-FR15


Redundancy and/or reliability is to be provided in the propulsion shafting equipment/systems to minimize malfunction and/or single failure.




PROP-FR16


Suitable design is to be provided to prevent ropes or lines in the water from entangling propellers, causing shaft seal damage by line intrusion and causing loss of propulsion. 




PROP-FR17


Line cutters are to be designed to function properly under stresses and vibrations from the propulsion system.





Structure (STRU)





STRU-FR1


Provide adequate hull supporting structure for the propulsion shafting to accommodate the operating and environmental loads.





Materials (MAT)





MAT-FR1


The material and manufactured components for propulsion shafting are to withstand the maximum working stresses without any deformation or fatigue failure.




MAT-FR2


The material elongation for propulsion shafting is to be sufficiently high so that it can withstand accidental shock or impact loads during service.




MAT-FR3


Corrosion resistant materials for propulsion shafting components exposed to the seawater are to be used. 




MAT-FR4


Corrosion resistant materials of adequate strength for line cutters are to be used.




MAT-FR5


Hardness is to be considered for wear/abrasion resistance and when the material is exposed to seawater.




MAT-FR6


Chemical Composition is to be considered for corrosion resistance, weldability, and final mechanical properties.




MAT-FR7


Weldability (Carbon content, Carbon Equivalent) to be considered when the items/components are welded.",4-3-2/1.2.2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.2 Objective (2024)', '1.2.2 Functional Requirements']",standalone,
"In order to achieve the above stated goals, the design, construction, installation and maintenance of propulsion shafting are to be in accordance with the following functional requirements:",4-3-2/1.2.2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.2 Objective (2024)', '1.2.2 Functional Requirements']",standalone,all vessels
The use of disk type line cutters is permitted only on vessels with shafts smaller than 165 mm (6.5 in.) in diameter. The cutter disk is to be held in place using grub screws to prevent axial movement.,4-3-2/17.9.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.9 Cutter Requirements and Design', '17.9.3 Disk Type']",standalone,all vessels
A shaft diameter range for each line cutter is to be preliminarily stated by the manufacturer.,4-3-2/17.9.7,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.9 Cutter Requirements and Design', '17.9.7 Shaft Diameter']",standalone,all vessels
The seal arrangement which serves as the primary boundary providing an interface between the shaft and the sea is to be approved type that has been through design assessment and testing. Test reports in accordance with test procedures established by the manufacturer showing that the design serves the intended function and/or records of satisfactory service history in marine applications are basis for Product Design Assessment/Type approval.,4-3-2/5.13.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.13 \n Sealing Arrangements \n (1 July 2021)', '5.13.1 Sterntube Seal (1 July 2021)']",standalone,all vessels
Lubricant flow is to be continuously monitored and recorded.,4-3-2/15.5.4,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.5 Management of the Monitored Data', '15.5.4 Lubricant Operating Condition']",standalone,all vessels
Effective means are to be provided to prevent water having access to the shaft at the part between the after end of the liner and the propeller hub and between the shaft and the propeller. See typical sealing arrangements in 4-3-2/5.13.2 FIGURE 4. See also 4-3-3/9.5.,4-3-2/5.13.2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.13 \n Sealing Arrangements \n (1 July 2021)', '5.13.2 Propeller-End Seal']",4-3-2/5.13.2 FIGURE 4,all vessels
Effective means are to be provided to prevent water having access to the shaft at the part between the after end of the liner and the propeller hub and between the shaft and the propeller. See typical sealing arrangements in 4-3-2/5.13.2 FIGURE 4. See also 4-3-3/9.5.,4-3-2/5.13.2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.13 \n Sealing Arrangements \n (1 July 2021)', '5.13.2 Propeller-End Seal']",4-3-3/9.5,all vessels
FIGURE 4 Typical Arrangements and Details of Fitting of Tail Shaft and Propeller,4-3-2/5.13.2 FIGURE 4,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '5 Design and Construction ', '5.13 \n Sealing Arrangements \n (1 July 2021)', '5.13.2 Propeller-End Seal']",standalone,
All rotating components of the line cutters are to be dynamically balanced at their maximum designed shaft speed.,4-3-2/17.9.11,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.9 Cutter Requirements and Design', '17.9.11 Dynamic Balancing']",standalone,all vessels
Refer to 7-9-20/3 of the ABS Rules for Survey After Construction (Part 7).,4-3-2/15.9.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.9 Surveys', '15.9.3 Survey After Construction']",7-9-20/3,all vessels
Wear down is to be continuously monitored or measured using manual device at least twice in five years (not to exceed 36 month intervals) and recorded. Records are to be made available to the attending Surveyor.,4-3-2/15.5.2,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.5 Management of the Monitored Data', '15.5.2 Wear Down Measurement']",standalone,all vessels
"Stern tube bearings are to be examined at installation to the satisfaction of the attending Surveyor.
 The shaft sleeve/liner is to be examined at installation to the satisfaction of the attending Surveyor.
 Where direct access is not available, arrangements are to be made for borescope inspection of the system (e.g., bearing, shaft surface, et al.)
 The inspection procedures for corrosion protection coatings and borescope inspection are to be submitted to ABS.",4-3-2/15.9.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.9 Surveys', '15.9.1 Bearing and Coating Inspection']",standalone,all vessels
"Installation on fiberglass vessels is subject to ABS technical assessment and approval. In which case, strength calculations are to be submitted for review.",4-3-2/17.9.10,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.9 Cutter Requirements and Design', '17.9.10 Fiberglass Vessels (2024)']",standalone,all vessels
"Vessels fitted with line cutters are to maintain proper protection of the shaft against corrosion and propeller-end sealing requirements in accordance with 4-3-3/9.5 and 4-3-2/5.13, respectively. See 4-3-2/Figure 4 for typical sealing arrangements.",4-3-2/17.9.6,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.9 Cutter Requirements and Design', '17.9.6 Propeller-end Seal and Protection Against Corrosion']",4-3-2/5.13,all vessels
"Vessels fitted with line cutters are to maintain proper protection of the shaft against corrosion and propeller-end sealing requirements in accordance with 4-3-3/9.5 and 4-3-2/5.13, respectively. See 4-3-2/Figure 4 for typical sealing arrangements.",4-3-2/17.9.6,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.9 Cutter Requirements and Design', '17.9.6 Propeller-end Seal and Protection Against Corrosion']",4-3-2/Figure 4,all vessels
"Vessels fitted with line cutters are to maintain proper protection of the shaft against corrosion and propeller-end sealing requirements in accordance with 4-3-3/9.5 and 4-3-2/5.13, respectively. See 4-3-2/Figure 4 for typical sealing arrangements.",4-3-2/17.9.6,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.9 Cutter Requirements and Design', '17.9.6 Propeller-end Seal and Protection Against Corrosion']",4-3-3/9.5,all vessels
"A vessel is considered to comply with the goals and functional requirements within the scope of classification when the prescriptive requirements are complied with or when an alternative arrangement has been approved. Refer to Part 1D, Chapter 2.",4-3-2/1.2.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.2 Objective (2024)', '1.2.3 Compliance']",standalone,all vessels
"The torsional vibration stress in the propulsion shafting system with the line cutter installed is not to exceed the allowable vibratory stress, see 4-3-2/7.5.1.",4-3-2/17.9.9,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.9 Cutter Requirements and Design', '17.9.9 Torsional Vibrations']",4-3-2/7.5.1,all vessels
"Scissors Type




Rotating blades attached to the shaft (shaft mounted) or propeller hub (propeller mounted) and passing over fixed blades and shear lines like a scissor.






Disc Type




A sharp edged disc that rotates with the propeller or shaft.






Shaver Type




Cutters that work continuously by shaving the line caught by the propeller.",4-3-2/17.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.3 Definitions ']",standalone,
"For the purpose of this section, the following definitions apply:",4-3-2/17.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.3 Definitions ']",standalone,all vessels
FIGURE 13 Scissors Type Line Cutter (2024),4-3-2/17.3 FIGURE 13,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.3 Definitions ']",standalone,
FIGURE 14 Disc Type Line Cutter (2024),4-3-2/17.3 FIGURE 14,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.3 Definitions ']",standalone,
Figure 15 Shaver Type Line Cutter (2024),4-3-2/17.3 Figure 15,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.3 Definitions ']",standalone,
"Instruments for monitoring the water lubricated stern tube system are to be provided, as indicated in 4-3-2/15.3.1(d) TABLE 6. All alarms are to be audible and visual and are to be of the self-monitoring type so that a circuit failure causes an alarm condition. There are to be provisions for testing alarms.",4-3-2/15.3.1(d),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.3 System Requirements', '15.3.1 General', '15.3.1(d) Control and Instrument (1 July 2022)']",4-3-2/15.3.1(d) TABLE 6,all vessels
"TABLE 6 Instrumentation and Alarms for TCM-W Notation (1 July 2022)



Monitored Parameter




System - Opened Loop (OL) & Closed Loop (CL)




Alarm Condition




Display




Local




Main Control Station(2)



Navigation Bridge(1,4)






Flow


OL & CL


Low/High


x


x


x


x




Pressure


OL & CL


Low/High


x


x


x


x




Diff. Pressure (Filter)


OL & CL


High


x


x


x


x




Diff. Pressure (Across S/T)


 CL


High


x


x


x


x




Bearing Temperature


OL & CL


High


x


x


x


x




Water Temperature


 CL


High


x


x


x


x




Salinity


 CL


High


x


x


x


x




Wear Down(3)


OL & CL


High


x


x


x


x




Tank Level


 CL


Low


x


x


x


x




Water filtration System


OL & CL


Failure


x


x


x


x




Pump


OL & CL


Failure


x


x


x


x




Power Circuit


OL & CL


Failure


x


x


x


x",4-3-2/15.3.1(d),"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.3 System Requirements', '15.3.1 General', '15.3.1(d) Control and Instrument (1 July 2022)']",standalone,
A Test Plan is to be submitted to serve as the plan review at the start of the plan review process. The test plan is to identify all equipment and systems and the recommended method of performing the tests or trials.,4-3-2/15.7,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.7 Test Plan']",standalone,all vessels
"Materials for shafting, couplings and coupling bolts transmitting 373 kW (500 HP) or less are accepted based on the manufacturerâs certified mill tests and hardness check witnessed by the Surveyor. Bolts manufactured to a recognized standard and used as coupling bolts do not require material testing.",4-3-2/3.1.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '3 Materials ', '3.1 General  (2024)', '3.1.3 Alternative Test Requirements']",standalone,all vessels
"For vessels to be assigned with Ice Class notations, line cutters are to be designed in accordance with Section 6-1-3.",4-3-2/17.11,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '17 Line Cutters (2024)', '17.11 Strengthening for Navigation in Ice']",standalone,all vessels
"Where calculations, as per 4-3-2/7.9.2(b), indicate the possibility whirling critical speeds within the range of Â±20% of maximum continuous ratings (M.C.R.) speed, measurements using an appropriate recognized technique are to be required to be taken from the shafting system for the purpose of determining the need for barred speed ranges.",4-3-2/11.3.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.3 Vibration Measurement ', '11.3.3 Measurements for Whirling Vibrations (1 July 2018)']",4-3-2/7.9.2(b),all vessels
"Goal
No.



Goal







MAT 1

The selected materialsâ physical, mechanical, and chemical properties are to meet the design requirements appropriate for the application, operating conditions, and environment.",4-3-2/1.2.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.2 Objective (2024)', '1.2.1 Goals']",standalone,
"Goal
No.



Goals







PROP 1


provide sufficient thrust/power to move or manuever the vessel when required




PROP 2


provide redundancy and/or reliability to maintain propulsion.




STRU 1

in the intact condition, have sufficient structural strength to withstand the environmental conditions, loading conditions, and operational loads anticipated during the design life.",4-3-2/1.2.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.2 Objective (2024)', '1.2.1 Goals']",standalone,
"The propulsion shafting covered in this section is to be designed, constructed, operated, and maintained to:",4-3-2/1.2.1,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '1 General ', '1.2 Objective (2024)', '1.2.1 Goals']",standalone,all vessels
"Stern tube bearing temperatures are to be continuously monitored and recorded. Where bearing material properties or bearing arrangements do not require temperature monitoring, assessment and approval may be given by ABS on a case-by-case basis.",4-3-2/15.5.3,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.5 Management of the Monitored Data', '15.5.3 Bearings Operating Condition (2024)']",standalone,all vessels
"The chief engineer is responsible for recording and maintaining a file of the shipboard-performed lubricant sampling and analysis results, as well as stern tube bearings operating condition. The results of the laboratory analysis are to be stored within the file onboard. All documentation is to be made available to the Surveyor to allow for trend assessment of the measured parameters.",4-3-2/15.5.5,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '15 Tailshaft Condition Monitoring (TCM-W) (1 July 2018)', '15.5 Management of the Monitored Data', '15.5.5 Recording and Analysis']",standalone,all vessels
"For vessels fitted with an unusual propulsion arrangement or without vibration dampers, a torsional vibration analysis of the propulsion system showing compliance with 4-3-2/7.5.1 is to be submitted. This is not required for vessels under 20 m (65 ft) in length or where the installation is eventually the same as previous designs which have been proven satisfactory.",4-3-2/7.5.9,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.5 Torsional Vibrations ', '7.5.9 Vessels Below 61 m (200 ft) in Length']",4-3-2/7.5.1,all vessels
FIGURE 10 Torsional Vibration Systems (2024),4-3-2/7.5.9 FIGURE 10,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '7 Propulsion Shaft Alignment and Vibrations ', '7.5 Torsional Vibrations ', '7.5.9 Vessels Below 61 m (200 ft) in Length']",standalone,
"Where means are provided to prevent circulating currents from passing between the propeller, shaft and the hull, a warning notice plate is to be provided in a visible place cautioning against the removal of such protection.",4-3-2/11.5,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.5 Circulating Currents ']",standalone,all vessels
"The shafting installation is to be operated in the presence of the Surveyor to demonstrate its reliability and sufficiency to function satisfactorily under various maneuvering conditions. During these trials, no abnormal heating, excessive vibrations or other detrimental operating phenomena are to be observed at speeds within the operating range.",4-3-2/11.7,"['Part 4 Vessel Systems and Machinery', ' Chapter 3 Propulsion and Maneuvering Machinery', ' Section 2 Propulsion Shafting', '11 Installation and Trials ', '11.7 Sea Trial  (2024)']",standalone,all vessels
